Sensor Name,Timestamp,Week,Week Day,Unix,Slice,Relative Time,Longitude,Latitude,mean_PM10,mean_PM1,mean_CO,mean_NO2,Date
PER_AIRMON_MESH1973150,25/12/2019 00:00,4,Tuesday,1577231580,1752479,258780,-1.615699,54.959784,4.019333333,1.310666667,327.5530507,28.19624,25
PER_AIRMON_MESH1973150,25/12/2019 00:15,4,Wednesday,1577232480,1752480,259680,-1.615699,54.959784,3.970666667,1.267333333,328.7216377,28.52837333,25
PER_AIRMON_MESH1973150,25/12/2019 00:30,4,Wednesday,1577233380,1752481,260580,-1.615699,54.959784,3.975333333,1.335333333,331.2462863,31.26064,25
PER_AIRMON_MESH1973150,25/12/2019 00:45,4,Wednesday,1577234280,1752482,261480,-1.615699,54.959784,3.885333333,1.212,326.8142967,25.55922667,25
PER_AIRMON_MESH1973150,25/12/2019 01:00,4,Wednesday,1577235180,1752483,262380,-1.615699,54.959784,3.816666667,1.252666667,331.3116277,28.96954667,25
PER_AIRMON_MESH1973150,25/12/2019 01:15,4,Wednesday,1577236080,1752484,263280,-1.615699,54.959784,4.336,1.514666667,328.9278903,29.74034667,25
PER_AIRMON_MESH1973150,25/12/2019 01:30,4,Wednesday,1577236980,1752485,264180,-1.615699,54.959784,4.019333333,1.451333333,323.2183097,29.51976,25
PER_AIRMON_MESH1973150,25/12/2019 01:45,4,Wednesday,1577237880,1752486,265080,-1.615699,54.959784,4.401333333,1.473333333,330.5030287,28.37922667,25
PER_AIRMON_MESH1973150,25/12/2019 02:00,4,Wednesday,1577238780,1752487,265980,-1.615699,54.959784,3.385333333,1.187333333,328.6006493,28.91314667,25
PER_AIRMON_MESH1973150,25/12/2019 02:15,4,Wednesday,1577239680,1752488,266880,-1.615699,54.959784,3.349333333,1.186666667,324.3165937,27.95434667,25
PER_AIRMON_MESH1973150,25/12/2019 02:30,4,Wednesday,1577240580,1752489,267780,-1.615699,54.959784,3.314,1.156,320.7409113,28.60232,25
PER_AIRMON_MESH1973150,25/12/2019 02:45,4,Wednesday,1577241480,1752490,268680,-1.615699,54.959784,3.373333333,1.244666667,323.3037267,27.83402667,25
PER_AIRMON_MESH1973150,25/12/2019 03:00,4,Wednesday,1577242380,1752491,269580,-1.615699,54.959784,3.527333333,1.270666667,332.2057963,28.69882667,25
PER_AIRMON_MESH1973150,25/12/2019 03:15,4,Wednesday,1577243280,1752492,270480,-1.615699,54.959784,3.074666667,1.128,322.8117583,28.15488,25
PER_AIRMON_MESH1973150,25/12/2019 03:30,4,Wednesday,1577244180,1752493,271380,-1.615699,54.959784,2.591333333,0.971333333,319.976662,25.40256,25
PER_AIRMON_MESH1973150,25/12/2019 03:45,4,Wednesday,1577245080,1752494,272280,-1.615699,54.959784,2.808,0.938,339.4955533,26.23352,25
PER_AIRMON_MESH1973150,25/12/2019 04:00,4,Wednesday,1577245980,1752495,273180,-1.615699,54.959784,3.638,1.360666667,340.7787167,26.35885333,25
PER_AIRMON_MESH1973150,25/12/2019 04:15,4,Wednesday,1577246880,1752496,274080,-1.615699,54.959784,3.456666667,1.325333333,329.3373423,28.25514667,25
PER_AIRMON_MESH1973150,25/12/2019 04:30,4,Wednesday,1577247780,1752497,274980,-1.615699,54.959784,3.01,1.108,321.5705783,28.69882667,25
PER_AIRMON_MESH1973150,25/12/2019 04:45,4,Wednesday,1577248680,1752498,275880,-1.615699,54.959784,2.676,0.955333333,334.3035127,30.35824,25
PER_AIRMON_MESH1973150,25/12/2019 05:00,4,Wednesday,1577249580,1752499,276780,-1.615699,54.959784,2.826,1.024,334.384197,29.25029333,25
PER_AIRMON_MESH1973150,25/12/2019 05:15,4,Wednesday,1577250480,1752500,277680,-1.615699,54.959784,2.873333333,1.080666667,333.9260443,28.51458667,25
PER_AIRMON_MESH1973150,25/12/2019 05:30,4,Wednesday,1577251380,1752501,278580,-1.615699,54.959784,3.471333333,1.216,326.6377377,28.30653333,25
PER_AIRMON_MESH1973150,25/12/2019 05:45,4,Wednesday,1577252280,1752502,279480,-1.615699,54.959784,3.39,1.096,332.5534947,30.1928,25
PER_AIRMON_MESH1973150,25/12/2019 06:00,4,Wednesday,1577253180,1752503,280380,-1.615699,54.959784,3.218666667,1.111333333,352.6596947,26.72733333,25
PER_AIRMON_MESH1973150,25/12/2019 06:15,4,Wednesday,1577254080,1752504,281280,-1.615699,54.959784,3.048666667,0.899333333,356.6444473,31.68928,25
PER_AIRMON_MESH1973150,25/12/2019 06:30,4,Wednesday,1577254980,1752505,282180,-1.615699,54.959784,3.752666667,0.828666667,338.97725,31.51381333,25
PER_AIRMON_MESH1973150,25/12/2019 06:45,4,Wednesday,1577255880,1752506,283080,-1.615699,54.959784,3.351333333,0.791333333,328.7470567,29.38690667,25
PER_AIRMON_MESH1973150,25/12/2019 07:00,4,Wednesday,1577256780,1752507,283980,-1.615699,54.959784,4.3,1.249333333,357.861735,27.8804,25
PER_AIRMON_MESH1973150,25/12/2019 07:15,4,Wednesday,1577257680,1752508,284880,-1.615699,54.959784,4.332666667,1.367333333,343.3077927,31.14533333,25
PER_AIRMON_MESH1973150,25/12/2019 07:30,4,Wednesday,1577258580,1752509,285780,-1.615699,54.959784,4.568,1.486666667,353.0152553,36.67629333,25
PER_AIRMON_MESH1973150,25/12/2019 07:45,4,Wednesday,1577259480,1752510,286680,-1.615699,54.959784,5.310666667,1.563333333,415.3254683,36.33664,25
PER_AIRMON_MESH1973150,25/12/2019 08:00,4,Wednesday,1577260380,1752511,287580,-1.615699,54.959784,5.473333333,1.668666667,429.7722387,32.6556,25
PER_AIRMON_MESH1973150,25/12/2019 08:15,4,Wednesday,1577261280,1752512,288480,-1.615699,54.959784,5.896666667,1.728666667,379.4095663,37.79802667,25
PER_AIRMON_MESH1973150,25/12/2019 08:30,4,Wednesday,1577262180,1752513,289380,-1.615699,54.959784,7.32,2.046,366.957615,37.25784,25
PER_AIRMON_MESH1973150,25/12/2019 08:45,4,Wednesday,1577263080,1752514,290280,-1.615699,54.959784,6.965333333,1.962,423.7635077,33.05666667,25
PER_AIRMON_MESH1973150,25/12/2019 09:00,4,Wednesday,1577263980,1752515,291180,-1.615699,54.959784,5.989333333,1.522666667,404.8593287,39.68930667,25
PER_AIRMON_MESH1973150,25/12/2019 09:15,4,Wednesday,1577264880,1752516,292080,-1.615699,54.959784,5.372,1.092666667,370.1279673,34.67346667,25
PER_AIRMON_MESH1973150,25/12/2019 09:30,4,Wednesday,1577265780,1752517,292980,-1.615699,54.959784,5.88,1.282,410.1892273,41.60816,25
PER_AIRMON_MESH1973150,25/12/2019 09:45,4,Wednesday,1577266680,1752518,293880,-1.615699,54.959784,7.322666667,1.582666667,423.496341,43.38789333,25
